,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
210199,09/23/2015,4960,AMES,50010,85.0,Story,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65257,Jagermeister Liqueur,1000,$15.54,$23.31,12,$279.72,12.0,3.17
202272,03/19/2015,2593,CARROLL,51401,14.0,Carroll,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,389,64776,Cointreau Liqueur,750,$19.99,$29.99,1,$29.99,0.75,0.2
115596,09/22/2015,2575,WATERLOO,50702,7.0,Black Hawk,1031080.0,VODKA 80 PROOF,380,37346,Phillips Vodka,750,$3.57,$5.36,12,$64.32,9.0,2.38
261711,07/13/2015,4019,MANCHESTER,52057,28.0,Delaware,1011300.0,TENNESSEE WHISKIES,85,86692,Jack Daniel's Tennessee Fire,750,$15.07,$22.61,12,$271.32,9.0,2.38
119499,04/22/2015,2572,CEDAR FALLS,50613,7.0,Black Hawk,1031200.0,VODKA FLAVORED,259,41299,Burnett's Cherry Vodka,750,$4.84,$7.26,4,$29.04,3.0,0.79
16654,08/18/2015,2641,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1031080.0,VODKA 80 PROOF,300,36903,Mccormick Vodka,200,$1.13,$1.70,48,$81.60,9.6,2.54
178704,06/10/2015,4295,DES MOINES,50317,77.0,Polk,1031080.0,VODKA 80 PROOF,55,37936,Skol Vodka,750,$3.64,$5.46,6,$32.76,4.5,1.19
244452,03/18/2015,4273,DES MOINES,50317,77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65,19063,Jim Beam,200,$3.41,$5.12,1,$5.12,0.2,0.05
120672,12/01/2015,4743,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1012200.0,SCOTCH WHISKIES,55,8828,Lauder's,1750,$11.18,$16.77,6,$100.62,10.5,2.77
135655,01/27/2015,2606,HUMBOLDT,50548,46.0,Humboldt,1012100.0,CANADIAN WHISKIES,421,12888,Rich & Rare Canadian Whisky,1750,$8.98,$13.47,6,$80.82,10.5,2.77
73531,03/11/2015,4129,AMES,50010,85.0,Story,1062300.0,FLAVORED RUM,35,43137,Bacardi Limon,1000,$10.50,$15.75,4,$63.00,4.0,1.06
249013,06/30/2015,3820,SIOUX CITY,51103,97.0,Woodbury,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65257,Jagermeister Liqueur,1000,$15.54,$23.31,48,$1118.88,48.0,12.68
145493,03/14/2016,2517,NEWTON,50208,50.0,Jasper,1032080.0,IMPORTED VODKA,370,34006,Absolut Swedish Vodka 80 Prf,750,$11.49,$17.24,12,$206.88,9.0,2.38
265974,09/04/2015,2506,BURLINGTON,52601,29.0,Des Moines,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,260,64816,Romana Black Sambuca,750,$13.25,$19.88,4,$79.52,3.0,0.79
259884,03/14/2016,2539,IOWA FALLS,50126,42.0,Hardin,1081390.0,IMPORTED SCHNAPPS,421,69657,Dr. Mcgillicuddy's Mentholmint,1000,$11.00,$16.50,12,$198.00,12.0,3.17
53772,03/10/2015,4236,EAGLE GROVE,50533,99.0,Wright,1081390.0,IMPORTED SCHNAPPS,421,69637,Dr. Mcgillicuddy's Cherry Schnapps,1000,$11.00,$16.50,1,$16.50,1.0,0.26
229102,05/12/2015,4446,URBANDALE,50322,77.0,Polk,1031200.0,VODKA FLAVORED,205,40598,New Amsterdam Red Berry,375,$3.50,$5.25,8,$42.00,3.0,0.79
169463,02/10/2016,4597,DES MOINES,50315,77.0,Polk,1031200.0,VODKA FLAVORED,380,41601,Uv Blue (raspberry) Vodka,375,$3.45,$5.18,6,$31.08,2.25,0.59
124253,02/25/2016,4190,JEFFERSON,50129,37.0,Greene,1051110.0,BLACKBERRY BRANDIES,434,55086,Paramount Blackberry Brandy,750,$5.48,$8.22,3,$24.66,2.25,0.59
45470,01/27/2016,3990,OSKALOOSA,52577,62.0,Mahaska,1062300.0,FLAVORED RUM,35,43145,Bacardi Pineapple Fusion,750,$8.26,$12.39,2,$24.78,1.5,0.4
151321,09/24/2015,3540,DAVENPORT,52807,82.0,Scott,1012200.0,SCOTCH WHISKIES,55,8828,Lauder's,1750,$11.18,$16.77,6,$100.62,10.5,2.77
235693,10/06/2015,2661,SHELDON,51201,71.0,O'Brien,1022100.0,TEQUILA,395,87408,Jose Cuervo Especial Silver,750,$10.49,$15.74,12,$188.88,9.0,2.38
46120,01/20/2015,4757,BONDURANT,50035,77.0,Polk,1031100.0,100 PROOF VODKA,300,36908,Mccormick Vodka Pet,1750,$7.47,$11.21,2,$22.42,3.5,0.92
89867,05/21/2015,4001,CARROLL,51401,14.0,Carroll,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,322,75214,Kinky Blue,750,$10.00,$15.00,12,$180.00,9.0,2.38
261004,10/12/2015,2512,IOWA CITY,52240,52.0,Johnson,1012100.0,CANADIAN WHISKIES,115,11788,Black Velvet,1750,$9.45,$14.68,60,$880.80,105.0,27.74
174477,12/08/2015,2641,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1031080.0,VODKA 80 PROOF,300,36904,Mccormick Vodka Pet,375,$1.80,$2.70,48,$129.60,18.0,4.76
